Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Erling Haaland,Manchester City,NOR,Forward,198.8,126.66
Martin Ødegaard,Arsenal,NOR,Midfielder,126.5,116.69
Cole Palmer,Chelsea,ENG,Midfielder,115.4,104.9
Omar Marmoush,Manchester City,EGY,Forward,79.1,97.53
Sávio,Manchester City,BRA,Forward,74.8,95.2
Ryan Gravenberch,Liverpool,NED,Midfielder,85.3,91.76
Alexis Mac Allister,Liverpool,ARG,Midfielder,106.1,88.33
Declan Rice,Arsenal,ENG,Midfielder,107.8,87.42
Enzo Fernández,Chelsea,ARG,Midfielder,73.7,85.67
Phil Foden,Manchester City,ENG,Midfielder,105.7,83.52
Moisés Caicedo,Chelsea,ECU,Midfielder,80.7,80.7
Jeremy Doku,Manchester City,BEL,Forward,66.2,78.52
Joško Gvardiol,Manchester City,CRO,Defender,78.7,74.51
Emile Smith Rowe,Fulham,ENG,Midfielder,40.8,72.97
Nicolas Jackson,Chelsea,SEN,Forward,66.2,71.71
Dominik Szoboszlai,Liverpool,HUN,Midfielder,71.4,71.4
Bukayo Saka,Arsenal,ENG,Forward,101.3,70.93
Kai Havertz,Arsenal,GER,Forward,70.5,70.76
Bruno Guimarães,Newcastle Utd,BRA,Midfielder,83.2,69.89
Ethan Nwaneri,Arsenal,ENG,Forward,74.3,69.09
Curtis Jones,Liverpool,ENG,Midfielder,61.7,68.27
Alejandro Garnacho,Manchester Utd,ARG,Midfielder,60.7,67.46
Rico Lewis,Manchester City,ENG,Defender,62.7,66.94
Morgan Rogers,Aston Villa,ENG,Forward,69.0,65.89
Malo Gusto,Chelsea,FRA,Defender,32.8,64.99
João Pedro,Brighton,BRA,Forward,61.3,64.49
Jack Grealish,Manchester City,ENG,Forward,43.5,64.48
João Gomes,Wolves,BRA,Midfielder,51.1,63.39
Murillo,Nott'ham Forest,BRA,Defender,68.4,62.35
Matheus Cunha,Wolves,BRA,Midfielder,62.6,61.91
Milos Kerkez,Bournemouth,HUN,Defender,61.5,61.5
Gabriel Martinelli,Arsenal,BRA,Forward,62.6,61.14
Noni Madueke,Chelsea,ENG,Forward,51.6,61.04
Mohamed Salah,Liverpool,EGY,Forward,38.5,60.84
Mathys Tel,Tottenham,FRA,Forward,56.4,60.55
James Maddison,Tottenham,ENG,Midfielder,58.1,59.31
Cody Gakpo,Liverpool,NED,Forward,67.5,59.31
Leandro Trossard,Arsenal,BEL,Forward,31.8,59.21
Joshua Zirkzee,Manchester Utd,NED,Forward,43.7,59.13
Liam Delap,Ipswich Town,ENG,Forward,37.0,59.07
Ollie Watkins,Aston Villa,ENG,Forward,61.4,58.76
Rúben Dias,Manchester City,POR,Defender,58.5,58.72
Gabriel Magalhães,Arsenal,BRA,Defender,75.5,58.65
Mikel Merino,Arsenal,ESP,Midfielder,40.5,58.51
Dejan Kulusevski,Tottenham,SWE,Midfielder,60.5,57.19
Leny Yoro,Manchester Utd,FRA,Defender,71.0,57.08
Lucas Paquetá,West Ham,BRA,Midfielder,71.2,56.79
Amad Diallo,Manchester Utd,CIV,Forward,48.5,56.32
William Saliba,Arsenal,FRA,Defender,79.5,55.96
Morgan Gibbs-White,Nott'ham Forest,ENG,Midfielder,61.7,55.86
Luis Díaz,Liverpool,COL,Forward,71.0,55.22
Darwin Núñez,Liverpool,URU,Forward,60.9,54.95
Adam Wharton,Crystal Palace,ENG,Midfielder,48.9,54.41
